place,kde:amenity_hospital,kde:amenity_place_of_worship,kde:amenity_police,kde:leisure_*,kde:tourism_*,kde:shop_*,kde:highway_bus_stop,kde:highway_residential,kde:highway_primary
795,5.679130202109725,3.930914068348658,4.34216414166497,4.328957021297628,3.7136937878365623,4.046170816853742,4.167062276433693,3.6385787034735912,3.673963811057275
825,5.825967429845786,4.017870398659477,4.332571384961451,4.367969443286476,3.698968717380928,4.046503308254671,4.174228140155069,3.8951019783452256,3.690383291404668
826,5.767249140897727,3.915907195558363,4.285306236738428,4.327068035701773,3.717141580034121,3.9901990413596806,4.093418283649807,3.739632691573698,3.6435342314488697
856,5.97245475302622,4.005275652588962,4.257878618784959,4.356653557481701,3.7209466161772395,3.9839057860267335,4.099325736261449,3.8935800434364918,3.648449863031278
857,6.0258857506334405,3.906867402153246,4.217181268306346,4.317520409491353,3.738231116467902,3.9331340631268645,4.021941893354683,3.7757744411687604,3.6122005705907885
858,5.716024908513598,3.772453232529484,4.139396394300645,4.2107646685347735,3.727691072278991,3.854722397297264,3.9161784214168662,3.6716869316980816,3.545684620037296
887,5.991293312046345,3.9847759872957607,4.165594011935296,4.314423636067204,3.7560521250037384,3.921033272887451,4.013266124818626,3.878545255393055,3.602057199752954
888,6.127001821187086,3.879440971635077,4.136192583449004,4.2894622188808285,3.7728808135893823,3.8707434823194298,3.94619812829216,3.787330071141616,3.5776411844935296
889,5.919954761531125,3.7472386519114718,4.071147440580425,4.194193959808265,3.7568032860122544,3.7896561849608847,3.838038715594301,3.711188228665474,3.5173162291749485
756,4.200311789855418,4.12791398844808,4.19977907341849,3.5964575146497584,3.0259907782231137,3.7886031943235317,4.1654420380263435,4.277200848101485,3.5463941941294745
787,4.379419626348952,4.0657244670250225,4.125986333393525,3.4945403782815436,2.9918687624825404,3.7406893774864542,4.089186623658531,4.208315935556911,3.4908139249478065
788,4.601358185562519,4.1242302578839425,4.215789865324547,3.678892205421734,3.1308198835572343,3.844387686421646,4.189412069061174,4.259169273903753,3.560353500272779
789,4.801324982094247,4.173316454075804,4.2833075059132,3.856749811130017,3.261609261504936,3.942531082288932,4.260859175011539,4.241457092847471,3.6239391140986115
818,4.571020513879946,3.993631343161848,4.0562100940423935,3.4025608084207413,2.963138657247904,3.6835217599493344,3.994699508049587,4.036467988910783,3.435419909632305
